UID,Session,Sample,d45,d46,d47,d48,d49
19607,20230510,IAEA-C2,-4.889765,4.377515,-0.966826,8.539296,28.442786
19596,20230510,WS4_30.0_A,6.410235,16.362485,22.496871,32.807839,55.044974
19600,20230510,SB1_41_A,6.678149,14.995074,21.414426,30.181510,51.573128
19608,20230510,ETH-1,4.682766,11.340927,15.359541,22.508839,201.975632
19561,20230510,ETH-3,4.429048,11.855146,16.061713,23.769428,-38.402328
19559,20230510,IAEA-C1,4.679133,11.319317,15.462384,22.502457,57.606503
19567,20230510,ETH-4,-7.338555,-5.471951,-13.300781,-10.893684,9.580444
19562,20230510,IAEA-C2,-4.879395,4.416427,-0.905124,8.853395,-1113.743210
19573,20230510,ETH-1,4.673268,11.299160,15.332149,22.649492,45.205803
19585,20230510,AU_GR7_211.73,2.326242,8.578254,10.458464,17.128191,25.636946
19605,20230510,ETH-4,-7.343383,-5.457195,-13.297410,-11.028121,-6.871832
19603,20230510,ETH-3,4.416422,11.832768,15.983438,23.706973,45.305002
19601,20230510,SB1_98_A,6.616449,17.996754,24.348156,36.256502,82.447833
19597,20230510,IAEA-C2,-4.894806,4.402416,-0.997192,8.544102,22.169411
19570,20230510,AU_KAR1_2061.43,7.844688,6.848516,14.530581,13.589741,85.177888
19560,20230510,ETH-2,-7.155954,-5.250380,-13.107285,-10.728466,19.408937
19599,20230510,SB1_192_A,6.131964,13.739561,19.557728,27.528877,76.133388
19578,20230510,IAEA-C2,-4.892908,4.397001,-1.013849,8.622909,-20.375362
19583,20230510,ETH-2,-7.175443,-5.284516,-13.175259,-10.573911,7.085655
19595,20230510,AU_GR10_232.8,1.940314,8.955302,10.484182,17.769586,4.859797
19591,20230510,AU_MANYA6_1421.70,0.014736,4.761049,4.226545,8.994763,-115.118057
19604,20230510,WS4_54.4_A,5.767044,15.998800,21.469406,32.028808,42.346604
19564,20230510,AU_MJ1_253.82,-2.725367,-1.172431,-4.375908,-2.542332,-9.247167
19602,20230510,ETH-2,-7.177945,-5.251040,-13.167220,-10.774091,30.818066
19590,20230510,AU_GR8_75.32,2.057577,6.306442,7.841392,12.953663,188.186115
19572,20230510,ETH-2,-7.162571,-5.268524,-13.161644,-10.587671,-49.312463
19588,20230510,ETH-4,-7.341578,-5.456285,-13.343617,-11.053063,-23.930461
19571,20230510,AU_KAR1_2050.42,8.330929,8.327847,16.488878,16.536530,41.926639
19563,20230510,IAEA-C1,5.086383,11.260929,15.820996,22.488750,53.750809
19592,20230510,ETH-3,4.421639,11.900813,16.085644,23.909519,46.680184
19577,20230510,ETH-3,4.434840,11.853355,16.005066,23.716928,57.166408
19565,20230510,AU_MJ1_113.07,-2.789035,-0.995160,-4.278798,-2.119647,12.338127
19574,20230510,AU_KAR1_1437.31,4.424936,7.679087,11.806705,15.346428,29.632283
19587,20230510,IAEA-C2,-4.892346,4.398941,-0.931114,8.890397,4.199514
19606,20230510,IAEA-C1,5.072505,11.232853,15.793915,22.266934,64.671151
19568,20230510,ETH-3,4.437232,11.915652,16.097662,23.786398,33.287180
19594,20230510,AU_GR10_142.91,2.089296,8.416306,10.065829,16.761771,27.192376
19569,20230510,AU_LMW1_307.34,7.793722,9.423111,17.068095,18.881439,42.187468
19598,20230510,ETH-1,4.672269,11.327867,15.330809,22.472196,38.560486
3541,20171216,MDE_293.4,-4.275730,8.343129,3.485073,16.649938,12.452022
3542,20171216,KDW2_131.8_A,2.593304,9.575590,11.837749,19.039969,25.175185
3540,20171216,ETH-3,5.418114,12.270368,17.569516,24.525431,28.596346
3539,20171216,KDW2_64.8,6.053013,13.127500,19.041849,26.169311,44.674221
